Question,Answer,Article_Number,Type,Difficulty,Themes,Keyword,Clause,Theme
What does the Constitution say about specified?,"According to Article 1 (The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired), 1. The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired...",1,keyword_search,intermediate,federal_structure,specified,,
What does the Constitution say about first?,"According to Article 1 (The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired), 1. The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired...",1,keyword_search,intermediate,federal_structure,first,,
What does the Constitution say about schedule?,"According to Article 1 (The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired), 1. The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired...",1,keyword_search,intermediate,federal_structure,schedule,,
What does the Constitution say about other?,"According to Article 1 (The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired), 1. The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired...",1,keyword_search,intermediate,federal_structure,other,,
What is Article 2 of the Indian Constitution?,"Article 2 is titled 'Admission or establishment of new States'. 2. Admission or establishment of new States: Parliament may by law admit into the Union, or establish, new States on such terms and conditions, as it thinks fit...",2,overview,basic,federal_structure,,,
What is the title of Article 2?,Admission or establishment of new States,2,title,basic,federal_structure,,,
Explain Article 2 in detail.,"Article 2 (Admission or establishment of new States) states: 2. Admission or establishment of new States: Parliament may by law admit into the Union, or establish, new States on such terms and conditions, as it thinks fit",2,detailed_explanation,intermediate,federal_structure,,,
Which article deals with federal structure in the Indian Constitution?,Article 2 (Admission or establishment of new States) deals with federal structure.,2,theme_based,intermediate,federal_structure,,,federal_structure
What does the Constitution say about admission?,"According to Article 2 (Admission or establishment of new States), 2. Admission or establishment of new States: Parliament may by law admit into the Union, or establish, new States on such terms and conditions, as it thinks fit...",2,keyword_search,intermediate,federal_structure,admission,,
What does the Constitution say about establishment?,"According to Article 2 (Admission or establishment of new States), 2. Admission or establishment of new States: Parliament may by law admit into the Union, or establish, new States on such terms and conditions, as it thinks fit...",2,keyword_search,intermediate,federal_structure,establishment,,
What does the Constitution say about admit?,"According to Article 2 (Admission or establishment of new States), 2. Admission or establishment of new States: Parliament may by law admit into the Union, or establish, new States on such terms and conditions, as it thinks fit...",2,keyword_search,intermediate,federal_structure,admit,,
What does the Constitution say about into?,"According to Article 2 (Admission or establishment of new States), 2. Admission or establishment of new States: Parliament may by law admit into the Union, or establish, new States on such terms and conditions, as it thinks fit...",2,keyword_search,intermediate,federal_structure,into,,
What does the Constitution say about establish?,"According to Article 2 (Admission or establishment of new States), 2. Admission or establishment of new States: Parliament may by law admit into the Union, or establish, new States on such terms and conditions, as it thinks fit...",2,keyword_search,intermediate,federal_structure,establish,,
What is Article 2A of the Indian Constitution?,"Article 2A is titled 'Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5'. 2A. Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5 (with effect from 26 04 1975)...",2A,overview,basic,"federal_structure, amendment",,,
What is the title of Article 2A?,"Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5",2A,title,basic,"federal_structure, amendment",,,
Explain Article 2A in detail.,"Article 2A (Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5) states: 2A. Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5 (with effect from 26 04 1975)",2A,detailed_explanation,intermediate,"federal_structure, amendment",,,
Which article deals with federal structure in the Indian Constitution?,"Article 2A (Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5) deals with federal structure.",2A,theme_based,intermediate,"federal_structure, amendment",,,federal_structure
Which article deals with amendment in the Indian Constitution?,"Article 2A (Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5) deals with amendment.",2A,theme_based,intermediate,"federal_structure, amendment",,,amendment
What does the Constitution say about 1975?,"According to Article 2A (Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5), 2A. Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5 (with effect from 26 04 1975)...",2A,keyword_search,intermediate,"federal_structure, amendment",1975,,
What does the Constitution say about sikkim?,"According to Article 2A (Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5), 2A. Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5 (with effect from 26 04 1975)...",2A,keyword_search,intermediate,"federal_structure, amendment",sikkim,,
What does the Constitution say about associated?,"According to Article 2A (Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5), 2A. Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5 (with effect from 26 04 1975)...",2A,keyword_search,intermediate,"federal_structure, amendment",associated,,
What does the Constitution say about replaced?,"According to Article 2A (Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5), 2A. Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5 (with effect from 26 04 1975)...",2A,keyword_search,intermediate,"federal_structure, amendment",replaced,,
What does the Constitution say about thirty?,"According to Article 2A (Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5), 2A. Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5 (with effect from 26 04 1975)...",2A,keyword_search,intermediate,"federal_structure, amendment",thirty,,
What is Article 3 of the Indian Constitution?,"Article 3 is titled 'Formation of new States and alteration of areas, boundaries or names of existing States'. 3. Formation of new States and alteration of areas, boundaries or names of existing States: Parliament may by law (a) form a new State by separation of territory from any State or by unitin...",3,overview,basic,"federal_structure, governance, amendment",,,
What is the title of Article 3?,"Formation of new States and alteration of areas, boundaries or names of existing States",3,title,basic,"federal_structure, governance, amendment",,,
Explain Article 3 in detail.,"Article 3 (Formation of new States and alteration of areas, boundaries or names of existing States) states: 3. Formation of new States and alteration of areas, boundaries or names of existing States: Parliament may by law (a) form a new State by separation of territory from any State or by uniting t...",3,detailed_explanation,intermediate,"federal_structure, governance, amendment",,,
What does clause (a) of Article 3 state?,form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State;,3,clause_specific,intermediate,"federal_structure, governance, amendment",,(a),
Explain clause (a) of Article 3.,Clause (a) of Article 3 explains: form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State;,3,clause_explanation,advanced,"federal_structure, governance, amendment",,(a),
What does clause (b) of Article 3 state?,increase the area of any State;,3,clause_specific,intermediate,"federal_structure, governance, amendment",,(b),
Explain clause (b) of Article 3.,Clause (b) of Article 3 explains: increase the area of any State;,3,clause_explanation,advanced,"federal_structure, governance, amendment",,(b),
What does clause (c) of Article 3 state?,diminish the area of any State;,3,clause_specific,intermediate,"federal_structure, governance, amendment",,(c),
Explain clause (c) of Article 3.,Clause (c) of Article 3 explains: diminish the area of any State;,3,clause_explanation,advanced,"federal_structure, governance, amendment",,(c),
What does clause (d) of Article 3 state?,alter the boundaries of any State;,3,clause_specific,intermediate,"federal_structure, governance, amendment",,(d),
Explain clause (d) of Article 3.,Clause (d) of Article 3 explains: alter the boundaries of any State;,3,clause_explanation,advanced,"federal_structure, governance, amendment",,(d),
What does clause (e) of Article 3 state?,"alter the name of any State; Provided that no Bill for the purpose shall be introduced in either House of Parliament except on the recommendation of the President and unless, where the proposal contained in the Bill affects the area, boundaries or name of any of the States, the Bill has been referre...",3,clause_specific,intermediate,"federal_structure, governance, amendment",,(e),
Explain clause (e) of Article 3.,"Clause (e) of Article 3 explains: alter the name of any State; Provided that no Bill for the purpose shall be introduced in either House of Parliament except on the recommendation of the President and unless, where the proposal contained in the Bill affects the area, boundaries or name of any of the...",3,clause_explanation,advanced,"federal_structure, governance, amendment",,(e),
What does clause (a) of Article 3 state?,includes the power to form a new State or Union territory by uniting a part of any State or Union territory to any other State or Union territory,3,clause_specific,intermediate,"federal_structure, governance, amendment",,(a),
Explain clause (a) of Article 3.,Clause (a) of Article 3 explains: includes the power to form a new State or Union territory by uniting a part of any State or Union territory to any other State or Union territory,3,clause_explanation,advanced,"federal_structure, governance, amendment",,(a),
Which article deals with federal structure in the Indian Constitution?,"Article 3 (Formation of new States and alteration of areas, boundaries or names of existing States) deals with federal structure.",3,theme_based,intermediate,"federal_structure, governance, amendment",,,federal_structure
Which article deals with governance in the Indian Constitution?,"Article 3 (Formation of new States and alteration of areas, boundaries or names of existing States) deals with governance.",3,theme_based,intermediate,"federal_structure, governance, amendment",,,governance
Which article deals with amendment in the Indian Constitution?,"Article 3 (Formation of new States and alteration of areas, boundaries or names of existing States) deals with amendment.",3,theme_based,intermediate,"federal_structure, governance, amendment",,,amendment
What does the Constitution say about territory?,"According to Article 3 (Formation of new States and alteration of areas, boundaries or names of existing States), 3. Formation of new States and alteration of areas, boundaries or names of existing States: Parliament may by law (a) form a new State by separation of territory from any State or by uni...",3,keyword_search,intermediate,"federal_structure, governance, amendment",territory,,
What does the Constitution say about boundaries?,"According to Article 3 (Formation of new States and alteration of areas, boundaries or names of existing States), 3. Formation of new States and alteration of areas, boundaries or names of existing States: Parliament may by law (a) form a new State by separation of territory from any State or by uni...",3,keyword_search,intermediate,"federal_structure, governance, amendment",boundaries,,
What does the Constitution say about uniting?,"According to Article 3 (Formation of new States and alteration of areas, boundaries or names of existing States), 3. Formation of new States and alteration of areas, boundaries or names of existing States: Parliament may by law (a) form a new State by separation of territory from any State or by uni...",3,keyword_search,intermediate,"federal_structure, governance, amendment",uniting,,
What does the Constitution say about area?,"According to Article 3 (Formation of new States and alteration of areas, boundaries or names of existing States), 3. Formation of new States and alteration of areas, boundaries or names of existing States: Parliament may by law (a) form a new State by separation of territory from any State or by uni...",3,keyword_search,intermediate,"federal_structure, governance, amendment",area,,
What does the Constitution say about bill?,"According to Article 3 (Formation of new States and alteration of areas, boundaries or names of existing States), 3. Formation of new States and alteration of areas, boundaries or names of existing States: Parliament may by law (a) form a new State by separation of territory from any State or by uni...",3,keyword_search,intermediate,"federal_structure, governance, amendment",bill,,
What is Article 4 of the Indian Constitution?,"Article 4 is titled 'Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters'. 4. Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, i...",4,overview,basic,"federal_structure, amendment",,,
What is the title of Article 4?,"Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters",4,title,basic,"federal_structure, amendment",,,
Explain Article 4 in detail.,"Article 4 (Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters) states: 4. Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, inci...",4,detailed_explanation,intermediate,"federal_structure, amendment",,,
What does clause (2) of Article 4 state?,No such law as aforesaid shall be deemed to be an amendment of this Constitution for the purposes of Article 368 PART II C ITIZENSHIP,4,clause_specific,intermediate,"federal_structure, amendment",,(2),
Explain clause (2) of Article 4.,Clause (2) of Article 4 explains: No such law as aforesaid shall be deemed to be an amendment of this Constitution for the purposes of Article 368 PART II C ITIZENSHIP,4,clause_explanation,advanced,"federal_structure, amendment",,(2),
Which article deals with federal structure in the Indian Constitution?,"Article 4 (Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters) deals with federal structure.",4,theme_based,intermediate,"federal_structure, amendment",,,federal_structure
Which article deals with amendment in the Indian Constitution?,"Article 4 (Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters) deals with amendment.",4,theme_based,intermediate,"federal_structure, amendment",,,amendment
What does the Constitution say about provisions?,"According to Article 4 (Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters), 4. Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental...",4,keyword_search,intermediate,"federal_structure, amendment",provisions,,
What does the Constitution say about amendment?,"According to Article 4 (Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters), 4. Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental...",4,keyword_search,intermediate,"federal_structure, amendment",amendment,,
What does the Constitution say about first?,"According to Article 4 (Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters), 4. Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental...",4,keyword_search,intermediate,"federal_structure, amendment",first,,
What does the Constitution say about fourth?,"According to Article 4 (Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters), 4. Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental...",4,keyword_search,intermediate,"federal_structure, amendment",fourth,,
What does the Constitution say about supplemental?,"According to Article 4 (Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters), 4. Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental...",4,keyword_search,intermediate,"federal_structure, amendment",supplemental,,
What is Article 5 of the Indian Constitution?,Article 5 is titled 'Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his domicile in the territory of India and'. 5. Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his...,5,overview,basic,federal_structure,,,
What is the title of Article 5?,Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his domicile in the territory of India and,5,title,basic,federal_structure,,,
Explain Article 5 in detail.,Article 5 (Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his domicile in the territory of India and) states: 5. Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his do...,5,detailed_explanation,intermediate,federal_structure,,,
What does clause (b) of Article 5 state?,either of whose parents was born in the territory of India; or,5,clause_specific,intermediate,federal_structure,,(b),
Explain clause (b) of Article 5.,Clause (b) of Article 5 explains: either of whose parents was born in the territory of India; or,5,clause_explanation,advanced,federal_structure,,(b),
What does clause (c) of Article 5 state?,"who has been ordinarily resident in the territory of India for not less than five years preceding such commencement, shall be a citizen of India",5,clause_specific,intermediate,federal_structure,,(c),
Explain clause (c) of Article 5.,"Clause (c) of Article 5 explains: who has been ordinarily resident in the territory of India for not less than five years preceding such commencement, shall be a citizen of India",5,clause_explanation,advanced,federal_structure,,(c),
What does clause (c) of Article 5 state?,"who has been ordinarily resident in the territory of India for not less than five years preceding such commencement, shall be a citizen of India",5,clause_specific,intermediate,federal_structure,,(c),
Explain clause (c) of Article 5.,"Clause (c) of Article 5 explains: who has been ordinarily resident in the territory of India for not less than five years preceding such commencement, shall be a citizen of India",5,clause_explanation,advanced,federal_structure,,(c),
Which article deals with federal structure in the Indian Constitution?,Article 5 (Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his domicile in the territory of India and) deals with federal structure.,5,theme_based,intermediate,federal_structure,,,federal_structure
What does the Constitution say about india?,"According to Article 5 (Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his domicile in the territory of India and), 5. Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has ...",5,keyword_search,intermediate,federal_structure,india,,
What does the Constitution say about territory?,"According to Article 5 (Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his domicile in the territory of India and), 5. Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has ...",5,keyword_search,intermediate,federal_structure,territory,,
What does the Constitution say about commencement?,"According to Article 5 (Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his domicile in the territory of India and), 5. Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has ...",5,keyword_search,intermediate,federal_structure,commencement,,
What does the Constitution say about born?,"According to Article 5 (Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his domicile in the territory of India and), 5. Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has ...",5,keyword_search,intermediate,federal_structure,born,,
What does the Constitution say about citizenship?,"According to Article 5 (Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his domicile in the territory of India and), 5. Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has ...",5,keyword_search,intermediate,federal_structure,citizenship,,
What is Article 6 of the Indian Constitution?,"Article 6 is titled 'Rights of citizenship of certain persons who have migrated to India from Pakistan Notwithstanding anything in Article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement o...",6,overview,basic,"fundamental_rights, federal_structure",,,
What is the title of Article 6?,"Rights of citizenship of certain persons who have migrated to India from Pakistan Notwithstanding anything in Article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution i...",6,title,basic,"fundamental_rights, federal_structure",,,
Explain Article 6 in detail.,"Article 6 (Rights of citizenship of certain persons who have migrated to India from Pakistan Notwithstanding anything in Article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Con...",6,detailed_explanation,intermediate,"fundamental_rights, federal_structure",,,
What does clause (i) of Article 6 state?,"in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration, or",6,clause_specific,intermediate,"fundamental_rights, federal_structure",,(i),
Explain clause (i) of Article 6.,"Clause (i) of Article 6 explains: in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration, or",6,clause_explanation,advanced,"fundamental_rights, federal_structure",,(i),
What does clause (ii) of Article 6 state?,"in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government of the Dominion of India on an application made by him therefor to such officer before the commencement of...",6,clause_specific,intermediate,"fundamental_rights, federal_structure",,(ii),
Explain clause (ii) of Article 6.,"Clause (ii) of Article 6 explains: in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government of the Dominion of India on an application made by him therefor to such...",6,clause_explanation,advanced,"fundamental_rights, federal_structure",,(ii),
Which article deals with fundamental rights in the Indian Constitution?,"Article 6 (Rights of citizenship of certain persons who have migrated to India from Pakistan Notwithstanding anything in Article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Con...",6,theme_based,intermediate,"fundamental_rights, federal_structure",,,fundamental_rights
Which article deals with federal structure in the Indian Constitution?,"Article 6 (Rights of citizenship of certain persons who have migrated to India from Pakistan Notwithstanding anything in Article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Con...",6,theme_based,intermediate,"fundamental_rights, federal_structure",,,federal_structure
What does the Constitution say about india?,"According to Article 6 (Rights of citizenship of certain persons who have migrated to India from Pakistan Notwithstanding anything in Article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencemen...",6,keyword_search,intermediate,"fundamental_rights, federal_structure",india,,
What does the Constitution say about migrated?,"According to Article 6 (Rights of citizenship of certain persons who have migrated to India from Pakistan Notwithstanding anything in Article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencemen...",6,keyword_search,intermediate,"fundamental_rights, federal_structure",migrated,,
What does the Constitution say about person?,"According to Article 6 (Rights of citizenship of certain persons who have migrated to India from Pakistan Notwithstanding anything in Article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencemen...",6,keyword_search,intermediate,"fundamental_rights, federal_structure",person,,
What does the Constitution say about territory?,"According to Article 6 (Rights of citizenship of certain persons who have migrated to India from Pakistan Notwithstanding anything in Article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencemen...",6,keyword_search,intermediate,"fundamental_rights, federal_structure",territory,,
What does the Constitution say about pakistan?,"According to Article 6 (Rights of citizenship of certain persons who have migrated to India from Pakistan Notwithstanding anything in Article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencemen...",6,keyword_search,intermediate,"fundamental_rights, federal_structure",pakistan,,
What is Article 7 of the Indian Constitution?,"Article 7 is titled 'Rights of citizenship of certain migrants to Pakistan Notwithstanding anything in Articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India'. ...",7,overview,basic,"fundamental_rights, federal_structure",,,
What is the title of Article 7?,"Rights of citizenship of certain migrants to Pakistan Notwithstanding anything in Articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India",7,title,basic,"fundamental_rights, federal_structure",,,
Explain Article 7 in detail.,"Article 7 (Rights of citizenship of certain migrants to Pakistan Notwithstanding anything in Articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India) states: 7. ...",7,detailed_explanation,intermediate,"fundamental_rights, federal_structure",,,
What does clause (b) of Article 7 state?,"of Article 6 be deemed to have migrated to the territory of India after the nineteenth day of July, 1948",7,clause_specific,intermediate,"fundamental_rights, federal_structure",,(b),
Explain clause (b) of Article 7.,"Clause (b) of Article 7 explains: of Article 6 be deemed to have migrated to the territory of India after the nineteenth day of July, 1948",7,clause_explanation,advanced,"fundamental_rights, federal_structure",,(b),
Which article deals with fundamental rights in the Indian Constitution?,"Article 7 (Rights of citizenship of certain migrants to Pakistan Notwithstanding anything in Articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India) deals with ...",7,theme_based,intermediate,"fundamental_rights, federal_structure",,,fundamental_rights
Which article deals with federal structure in the Indian Constitution?,"Article 7 (Rights of citizenship of certain migrants to Pakistan Notwithstanding anything in Articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India) deals with ...",7,theme_based,intermediate,"fundamental_rights, federal_structure",,,federal_structure
What does the Constitution say about territory?,"According to Article 7 (Rights of citizenship of certain migrants to Pakistan Notwithstanding anything in Articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India...",7,keyword_search,intermediate,"fundamental_rights, federal_structure",territory,,
What does the Constitution say about india?,"According to Article 7 (Rights of citizenship of certain migrants to Pakistan Notwithstanding anything in Articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India...",7,keyword_search,intermediate,"fundamental_rights, federal_structure",india,,
What does the Constitution say about pakistan?,"According to Article 7 (Rights of citizenship of certain migrants to Pakistan Notwithstanding anything in Articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India...",7,keyword_search,intermediate,"fundamental_rights, federal_structure",pakistan,,
What does the Constitution say about person?,"According to Article 7 (Rights of citizenship of certain migrants to Pakistan Notwithstanding anything in Articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India...",7,keyword_search,intermediate,"fundamental_rights, federal_structure",person,,
What does the Constitution say about migrated?,"According to Article 7 (Rights of citizenship of certain migrants to Pakistan Notwithstanding anything in Articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India...",7,keyword_search,intermediate,"fundamental_rights, federal_structure",migrated,,
What is Article 8 of the Indian Constitution?,"Article 8 is titled 'Rights of citizenship of certain persons of India origin residing outside India Notwithstanding anything in Article 5, any person who or either of whose parents or any of whose grand parents was born in India as defined in the Government of India Act, 1935'. 8. Rights of citizen...",8,overview,basic,fundamental_rights,,,
What is the title of Article 8?,"Rights of citizenship of certain persons of India origin residing outside India Notwithstanding anything in Article 5, any person who or either of whose parents or any of whose grand parents was born in India as defined in the Government of India Act, 1935",8,title,basic,fundamental_rights,,,
