Chunk_ID,Text,Type,Article_Number,Title,Section,Themes,Search_Terms
chunk_article_17,"Article 17: Abolition of Untouchability Untouchability is abolished and its practice in any form is forbidden The enforcement of any disability arising out of Unt

17. Abolition of Untouchability Untouchability is abolished and its practice in any form is forbidden The enforcement of any disability arising out of Untouchability shall be an offence punishable in accordance with law",full_article,17,Abolition of Untouchability Untouchability is abolished and its practice in any form is forbidden The enforcement of any disability arising out of Unt,Unknown,,"untouchability, abolition, abolished, practice, form, forbidden, enforcement, disability, arising, offence, punishable, accordance, abolition of untouchability untouchability is abolished and its practice in any form is forbidden the enforcement of any disability arising out of unt"
chunk_article_18,"Article 18: Abolition of titles No title, not being a military or academic distinction, shall be conferred by the State No citizen of India shall accept any title

18. Abolition of titles No title, not being a military or academic distinction, shall be conferred by the State No citizen of India shall accept any title from any foreign State No person who is not a citizen of India shall, while he ho...",full_article,18,"Abolition of titles No title, not being a military or academic distinction, shall be conferred by the State No citizen of India shall accept any title",Unknown,"fundamental_rights, federal_structure, governance","title, accept, foreign, office, citizen, india, person, profit, trust, without, consent, president, abolition, titles, being, fundamental_rights, federal_structure, governance, abolition of titles no title, not being a military or academic distinction, shall be conferred by the state no citizen of india shall accept any title"
chunk_article_19,"Article 19: Protection of certain rights regarding freedom of speech etc

19. Protection of certain rights regarding freedom of speech etc (1) All citizens shall have the right (a) to freedom of speech and expression; (b) to assemble peaceably and without arms; (c) to form associations or unions; (d) to move freely throughout the territory of India; (e) to reside and settle in any part of the terr...",full_article,19,Protection of certain rights regarding freedom of speech etc,Unknown,"fundamental_rights, federal_structure","clause, said, nothing, affect, operation, existing, prevent, making, interests, right, india, imposes, reasonable, restrictions, exercise, fundamental_rights, federal_structure, protection of certain rights regarding freedom of speech etc"
chunk_article_19_clause_(e),"Article 19, Clause (e): to reside and settle in any part of the territory of India; and",clause,19,,Unknown,"fundamental_rights, federal_structure","reside, settle, part, territory, india"
chunk_article_19_clause_(g),"Article 19, Clause (g): of the said clause shall affect the operation of any existing law in so far as it imposes, or prevent the State from making any law imposing, in the interests of the general public, reasonable restrictions on the exercise of the right conferred by the said sub clause, and, in particular, nothing in the said sub clause shall affect the operation of any existing law in so far...",clause,19,,Unknown,"fundamental_rights, federal_structure","said, clause, affect, operation, existing"
chunk_article_19_clause_(i),"Article 19, Clause (i): the professional or technical qualifications necessary for practising any profession or carrying on any occupation, trade or business, or",clause,19,,Unknown,"fundamental_rights, federal_structure","professional, technical, qualifications, necessary, practising"
chunk_article_19_clause_(ii),"Article 19, Clause (ii): the carrying on by the State, or by a corporation owned or controlled by the State, of any trade, business, industry or service, whether to the exclusion, complete or partial, of citizens or otherwise",clause,19,,Unknown,"fundamental_rights, federal_structure","carrying, corporation, owned, controlled, trade"
chunk_article_20,"Article 20: Protection in respect of conviction for offences

20. Protection in respect of conviction for offences (1) No person shall be convicted of any offence except for violation of the law in force at the time of the commission of the act charged as an offence, nor be subjected to a penalty greater than that which might have been inflicted under the law in force at the time of the commission...",full_article,20,Protection in respect of conviction for offences,Unknown,fundamental_rights,"offence, person, force, time, commission, than, protection, respect, conviction, offences, convicted, except, violation, charged, subjected, fundamental_rights, protection in respect of conviction for offences"
chunk_article_20_clause_(2),"Article 20, Clause (2): No person shall be prosecuted and punished for the same offence more than once",clause,20,,Unknown,fundamental_rights,"person, prosecuted, punished, same, offence"
chunk_article_20_clause_(3),"Article 20, Clause (3): No person accused of any offence shall be compelled to be a witness against himself",clause,20,,Unknown,fundamental_rights,"person, accused, offence, compelled, witness"
chunk_article_21,"Article 21: Protection of life and personal liberty No person shall be deprived of his life or personal liberty except according to procedure established by law

21. Protection of life and personal liberty No person shall be deprived of his life or personal liberty except according to procedure established by law",full_article,21,Protection of life and personal liberty No person shall be deprived of his life or personal liberty except according to procedure established by law,Unknown,fundamental_rights,"life, personal, liberty, protection, person, deprived, except, according, procedure, established, fundamental_rights, protection of life and personal liberty no person shall be deprived of his life or personal liberty except according to procedure established by law"
chunk_article_22,"Article 22: Protection against arrest and detention in certain cases

22. Protection against arrest and detention in certain cases (1) No person who is arrested shall be detained in custody without being informed, as soon as may be, of the grounds for such arrest nor shall he be denied the right to consult, and to be defended by, a legal practitioner of his choice (2) Every person who is arrested ...",full_article,22,Protection against arrest and detention in certain cases,Unknown,fundamental_rights,"person, detention, detained, period, clause, providing, preventive, order, against, arrest, authority, cases, arrested, custody, without, fundamental_rights, protection against arrest and detention in certain cases"
chunk_article_22_clause_(2),"Article 22, Clause (2): Every person who is arrested and detained in custody shall be produced before the nearest magistrate within a period of twenty four hours of such arrest excluding the time necessary for the journey from the place of arrest to the court of the magistrate and no such person shall be detained in custody beyond the said period without the authority of a magistrate",clause,22,,Unknown,fundamental_rights,"magistrate, person, detained, custody, period"
chunk_article_22_clause_(5),"Article 22, Clause (5): When any person is detained in pursuance of an order made under any law providing for preventive detention, the authority making the order shall, as soon as may be, communicate to such person the grounds on which the order has been made and shall afford him the earliest opportunity of making a representation against the order",clause,22,,Unknown,fundamental_rights,"order, person, made, making, detained"
chunk_article_22_clause_(a),"Article 22, Clause (a): to any person who for the time being is an enemy alien; or",clause,22,,Unknown,fundamental_rights,"person, time, being, enemy, alien"
chunk_article_22_clause_(a),"Article 22, Clause (a): the circumstances under which, and the class or classes of cases in which, a person may be detained for a period longer than three months under any law providing for preventive detention without obtaining the opinion of an Advisory Board in accordance with the provisions of sub clause",clause,22,,Unknown,fundamental_rights,"circumstances, class, classes, cases, person"
chunk_article_22_clause_(b),"Article 22, Clause (b): the maximum period for which any person may in any class or classes of cases be detained under any law providing for preventive detention; and",clause,22,,Unknown,fundamental_rights,"maximum, period, person, class, classes"
chunk_article_22_clause_(c),"Article 22, Clause (c): the procedure to be followed by an Advisory Board in an inquiry under sub clause",clause,22,,Unknown,fundamental_rights,"procedure, followed, advisory, board, inquiry"
chunk_article_23,"Article 23: Prohibition of traffic in human beings and forced labour

23. Prohibition of traffic in human beings and forced labour (1) Traffic in human beings and begar and other similar forms of forced labour are prohibited and any contravention of this provision shall be an offence punishable in accordance with law (2) Nothing in this article shall prevent the State from imposing compulsory serv...",full_article,23,Prohibition of traffic in human beings and forced labour,Unknown,"fundamental_rights, federal_structure","traffic, human, beings, forced, labour, imposing, service, prohibition, begar, other, similar, forms, prohibited, contravention, provision, fundamental_rights, federal_structure, prohibition of traffic in human beings and forced labour"
chunk_article_23_clause_(2),"Article 23, Clause (2): Nothing in this article shall prevent the State from imposing compulsory service for public purpose, and in imposing such service the State shall not make any discrimination on grounds only of religion, race, caste or class or any of them",clause,23,,Unknown,"fundamental_rights, federal_structure","imposing, service, nothing, prevent, compulsory"
chunk_article_24,"Article 24: Prohibition of employment of children in factories, etc No child below the age of fourteen years shall be employed to work in any factory or mine or engaged in any other hazardous employment Provided that nothing in this sub clause shall authorise the detention of any person beyond the maximum period prescribed by any law made by Parliament under sub clause

24. Prohibition of employme...",full_article,24,"Prohibition of employment of children in factories, etc No child below the age of fourteen years shall be employed to work in any factory or mine or engaged in any other hazardous employment Provided that nothing in this sub clause shall authorise the detention of any person beyond the maximum period prescribed by any law made by Parliament under sub clause",Unknown,,"clause, employment, person, made, prohibition, children, factories, child, fourteen, years, employed, work, factory, mine, engaged, prohibition of employment of children in factories, etc no child below the age of fourteen years shall be employed to work in any factory or mine or engaged in any other hazardous employment provided that nothing in this sub clause shall authorise the detention of any person beyond the maximum period prescribed by any law made by parliament under sub clause"
chunk_article_25,"Article 25: Freedom of conscience and free profession, practice and propagation of religion

25. Freedom of conscience and free profession, practice and propagation of religion (1) Subject to public order, morality and health and to the other provisions of this Part, all persons are equally entitled to freedom of conscience and the right freely to profess, practise and propagate religion (2) Nothi...",full_article,25,"Freedom of conscience and free profession, practice and propagation of religion",Unknown,"fundamental_rights, directive_principles, federal_structure, emergency","religion, religious, reference, freedom, conscience, profession, practice, public, other, persons, hindu, institutions, hindus, explanation, sikh, fundamental_rights, directive_principles, federal_structure, emergency, freedom of conscience and free profession, practice and propagation of religion"
chunk_article_25_clause_(a),"Article 25, Clause (a): regulating or restricting any economic, financial, political or other secular activity which may be associated with religious practice;",clause,25,,Unknown,"fundamental_rights, directive_principles, federal_structure, emergency","regulating, restricting, economic, financial, political"
chunk_article_25_clause_(b),"Article 25, Clause (b): providing for social welfare and reform or the throwing open of Hindu religious institutions of a public character to all classes and sections of Hindus Explanation I The wearing and carrying of kirpans shall be deemed to be included in the profession of the Sikh religion Explanation II In sub clause",clause,25,,Unknown,"fundamental_rights, directive_principles, federal_structure, emergency","explanation, providing, social, welfare, reform"
chunk_article_25_clause_(b),"Article 25, Clause (b): of clause reference to Hindus shall be construed as including a reference to persons professing the Sikh, Jaina or Buddhist religion, and the reference to Hindu religious institutions shall be construed accordingly",clause,25,,Unknown,"fundamental_rights, directive_principles, federal_structure, emergency","reference, construed, clause, hindus, including"
chunk_article_26,"Article 26: Freedom to manage religious affairs Subject to public order, morality and health, every religious denomination or any section thereof shall have the right

26. Freedom to manage religious affairs Subject to public order, morality and health, every religious denomination or any section thereof shall have the right (a) to establish and maintain institutions for religious and charitable p...",full_article,26,"Freedom to manage religious affairs Subject to public order, morality and health, every religious denomination or any section thereof shall have the right",Unknown,"fundamental_rights, governance","religious, manage, affairs, property, freedom, subject, public, order, morality, health, every, denomination, section, thereof, right, fundamental_rights, governance, freedom to manage religious affairs subject to public order, morality and health, every religious denomination or any section thereof shall have the right"
chunk_article_26_clause_(c),"Article 26, Clause (c): to own and acquire movable and immovable property; and",clause,26,,Unknown,"fundamental_rights, governance","acquire, movable, immovable, property"
chunk_article_27,"Article 27: Freedom as to payment of taxes for promotion of any particular religion No person shall be compelled to pay any taxes, the proceeds of which are speci

27. Freedom as to payment of taxes for promotion of any particular religion No person shall be compelled to pay any taxes, the proceeds of which are specifically appropriated in payment of expenses for the promotion or maintenance of an...",full_article,27,"Freedom as to payment of taxes for promotion of any particular religion No person shall be compelled to pay any taxes, the proceeds of which are speci",Unknown,fundamental_rights,"payment, taxes, promotion, particular, religion, freedom, person, compelled, proceeds, specifically, appropriated, expenses, maintenance, religions, denomination, fundamental_rights, freedom as to payment of taxes for promotion of any particular religion no person shall be compelled to pay any taxes, the proceeds of which are speci"
chunk_article_28,"Article 28: Freedom as to attendance at religious instruction or religious worship in certain educational institutions

28. Freedom as to attendance at religious instruction or religious worship in certain educational institutions (1) No religion instruction shall be provided in any educational institution wholly maintained out of State funds (2) Nothing in clause (1) shall apply to an educational...",full_article,28,Freedom as to attendance at religious instruction or religious worship in certain educational institutions,Unknown,"fundamental_rights, federal_structure, governance","institution, religious, educational, instruction, person, worship, funds, imparted, thereto, freedom, attendance, certain, institutions, religion, provided, fundamental_rights, federal_structure, governance, freedom as to attendance at religious instruction or religious worship in certain educational institutions"
chunk_article_28_clause_(3),"Article 28, Clause (3): No person attending any educational institution recognised by the State or receiving aid out of State funds shall be required to take part in any religious instruction that may be imparted in such institution or to attend any religious worship that may be conducted in such institution or in any premises attached thereto unless such person or, if such person is a minor, his ...",clause,28,,Unknown,"fundamental_rights, federal_structure, governance","person, institution, educational, religious, thereto"
chunk_article_29,"Article 29: Protection of interests of minorities

29. Protection of interests of minorities (1) Any section of the citizens residing in the territory of India or any part thereof having a distinct language, script or culture of its own shall have the right to conserve the same (2) No citizen shall be denied admission into any educational institution maintained by the State or receiving aid out of...",full_article,29,Protection of interests of minorities,Unknown,"fundamental_rights, federal_structure","language, protection, interests, minorities, section, citizens, residing, territory, india, part, thereof, having, distinct, script, culture, fundamental_rights, federal_structure, protection of interests of minorities"
chunk_article_29_clause_(2),"Article 29, Clause (2): No citizen shall be denied admission into any educational institution maintained by the State or receiving aid out of State funds on grounds only of religion, race, caste, language or any of them",clause,29,,Unknown,"fundamental_rights, federal_structure","citizen, denied, admission, into, educational"
chunk_article_30,"Article 30: Right of minorities to establish and administer educational institutions

30. Right of minorities to establish and administer educational institutions (1) All minorities, whether based on religion or language, shall have the right to establish and administer educational institutions of their choice (1A) In making any law providing for the compulsory acquisition of any property of an ed...",full_article,30,Right of minorities to establish and administer educational institutions,Unknown,"fundamental_rights, federal_structure, governance","educational, right, institutions, minorities, establish, administer, whether, based, religion, language, acquisition, property, institution, minority, clause, fundamental_rights, federal_structure, governance, right of minorities to establish and administer educational institutions"
